"Name","Type","Level","Evolves_to","Evolves_from","Name_type","Times_appeared","Final_stage"
"Tandemaus","Colorless","Basic",NA,NA,"Tandemaus_Colorless",1,"Final evolution"
"Tangela","Grass","Basic","Tangrowth",NA,"Tangela_Grass",1,"Not final evolution"
"Tarountula","Grass","Basic",NA,NA,"Tarountula_Grass",1,"Final evolution"
"Tatsugiri","Water","Basic",NA,NA,"Tatsugiri_Water",1,"Final evolution"
"Tauros","Colorless","Basic",NA,NA,"Tauros_Colorless",1,"Final evolution"
"Teddiursa","Colorless","Basic","Ursaring",NA,"Teddiursa_Colorless",1,"Not final evolution"
"Tentacool","Water","Basic","Tentacruel",NA,"Tentacool_Water",1,"Not final evolution"
"Tinkatink","Psychic","Basic",NA,NA,"Tinkatink_Psychic",1,"Final evolution"
"Toedscool","Grass","Basic",NA,NA,"Toedscool_Grass",1,"Final evolution"
"Togedemaru","Lightning","Basic",NA,NA,"Togedemaru_Lightning",1,"Final evolution"
"Togedemaru","Metal","Basic",NA,NA,"Togedemaru_Metal",1,"Final evolution"
"Torkoal","Fire","Basic",NA,NA,"Torkoal_Fire",1,"Final evolution"
"Totodile","Water","Basic","Croconaw",NA,"Totodile_Water",1,"Not final evolution"
"Toxel","Lightning","Basic","Toxtricity",NA,"Toxel_Lightning",2,"Not final evolution"
"Tropius","Grass","Basic",NA,NA,"Tropius_Grass",1,"Final evolution"
"Trubbish","Darkness","Basic","Garbodor",NA,"Trubbish_Darkness",1,"Not final evolution"
"Turtonator","Fire","Basic",NA,NA,"Turtonator_Fire",1,"Final evolution"
"Turtwig","Grass","Basic","Grotle",NA,"Turtwig_Grass",1,"Not final evolution"
"Tympole","Water","Basic","Palpitoad",NA,"Tympole_Water",1,"Not final evolution"
"Tynamo","Lightning","Basic","Eelektrik",NA,"Tynamo_Lightning",1,"Not final evolution"
"Vanillite","Water","Basic","Vanillish",NA,"Vanillite_Water",1,"Not final evolution"
"Varoom","Metal","Basic","Revavroom",NA,"Varoom_Metal",2,"Not final evolution"
"Veluza","Water","Basic",NA,NA,"Veluza_Water",1,"Final evolution"
"Venipede","Darkness","Basic","Whirlipede",NA,"Venipede_Darkness",1,"Not final evolution"
"Venonat","Grass","Basic","Venomoth",NA,"Venonat_Grass",1,"Not final evolution"
"Victini","Fire","Basic",NA,NA,"Victini_Fire",1,"Final evolution"
"Virizion","Grass","Basic",NA,NA,"Virizion_Grass",1,"Final evolution"
"Volcanion","Fire","Basic",NA,NA,"Volcanion_Fire",1,"Final evolution"
"Voltorb","Lightning","Basic","Electrode",NA,"Voltorb_Lightning",2,"Not final evolution"
"Vullaby","Darkness","Basic","Mandibuzz",NA,"Vullaby_Darkness",1,"Not final evolution"
"Vulpix","Fire","Basic","Ninetales",NA,"Vulpix_Fire",1,"Not final evolution"
"Wailmer","Water","Basic","Wailord",NA,"Wailmer_Water",1,"Not final evolution"
"Wattrel","Lightning","Basic",NA,NA,"Wattrel_Lightning",1,"Final evolution"
"Weedle","Grass","Basic","Kakuna",NA,"Weedle_Grass",1,"Not final evolution"
"Wiglett","Water","Basic","Wugtrio",NA,"Wiglett_Water",2,"Not final evolution"
"Wimpod","Grass","Basic","Golisopod",NA,"Wimpod_Grass",1,"Not final evolution"
"Wimpod","Water","Basic","Golisopod",NA,"Wimpod_Water",1,"Not final evolution"
"Wingull","Water","Basic","Pelipper",NA,"Wingull_Water",1,"Not final evolution"
"Wishiwashi","Water","Basic",NA,NA,"Wishiwashi_Water",1,"Final evolution"
"Wo-Chien","Grass","Basic",NA,NA,"Wo-Chien_Grass",1,"Final evolution"
"Wobbuffet","Psychic","Basic",NA,NA,"Wobbuffet_Psychic",1,"Final evolution"
"Woobat","Psychic","Basic","Swoobat",NA,"Woobat_Psychic",1,"Not final evolution"
"Wooloo","Colorless","Basic","Dubwool",NA,"Wooloo_Colorless",1,"Not final evolution"
"Wurmple","Grass","Basic",NA,NA,"Wurmple_Grass",1,"Final evolution"
"Yamask","Psychic","Basic","Cofagrigus",NA,"Yamask_Psychic",1,"Not final evolution"
"Yamper","Lightning","Basic","Boltund",NA,"Yamper_Lightning",1,"Not final evolution"
"Yanma","Grass","Basic","Yanmega",NA,"Yanma_Grass",1,"Not final evolution"
"Yungoos","Colorless","Basic","Gumshoos",NA,"Yungoos_Colorless",1,"Not final evolution"
"Zacian","Metal","Basic",NA,NA,"Zacian_Metal",1,"Final evolution"
"Zangoose","Colorless","Basic",NA,NA,"Zangoose_Colorless",1,"Final evolution"
"Zekrom","Lightning","Basic",NA,NA,"Zekrom_Lightning",1,"Final evolution"
"Zorua","Darkness","Basic","Zoroark",NA,"Zorua_Darkness",1,"Not final evolution"
"Zubat","Psychic","Basic","Golbat",NA,"Zubat_Psychic",1,"Not final evolution"
"Zubat","Darkness","Basic","Golbat",NA,"Zubat_Darkness",1,"Not final evolution"
"Impidimp","Darkness","Basic","Morgrem",NA,"Impidimp_Darkness",1,"Not final evolution"
