"Name","Type","Stage","Quantity","Name_type","Evolves_to","Evolves_from","Final_stage"
"Shelmet","Grass","Basic",1,"Shelmet_Grass","Accelgor",NA,"Not final evolution"
"Shinx","Lightning","Basic",8,"Shinx_Lightning","Luxio",NA,"Not final evolution"
"Shroomish","Grass","Basic",1,"Shroomish_Grass","Breloom",NA,"Not final evolution"
"Shuckle","Grass","Basic",1,"Shuckle_Grass",NA,NA,"Final evolution"
"Shuppet","Psychic","Basic",3,"Shuppet_Psychic","Banette",NA,"Not final evolution"
"Sigilyph","Psychic","Basic",1,"Sigilyph_Psychic",NA,NA,"Final evolution"
"Sinistea","Psychic","Basic",2,"Sinistea_Psychic","Polteageist",NA,"Not final evolution"
"Sizzlipede","Fire","Basic",4,"Sizzlipede_Fire","Centiskorch",NA,"Not final evolution"
"Skarmory","Metal","Basic",2,"Skarmory_Metal",NA,NA,"Final evolution"
"Skitty","Colorless","Basic",2,"Skitty_Colorless","Delcatty",NA,"Not final evolution"
"Skrelp","Darkness","Basic",2,"Skrelp_Darkness","Dragalge",NA,"Not final evolution"
"Skwovet","Colorless","Basic",3,"Skwovet_Colorless","Greedent",NA,"Not final evolution"
"Slakoth","Colorless","Basic",4,"Slakoth_Colorless","Vigoroth",NA,"Not final evolution"
"Slither Wing","Fighting","Basic",3,"Slither Wing_Fighting",NA,NA,"Final evolution"
"Slowpoke","Psychic","Basic",3,"Slowpoke_Psychic",NA,NA,"Final evolution"
"Slowpoke","Water","Basic",1,"Slowpoke_Water",NA,NA,"Final evolution"
"Slugma","Fire","Basic",7,"Slugma_Fire","Magcargo",NA,"Not final evolution"
"Smeargle","Colorless","Basic",2,"Smeargle_Colorless",NA,NA,"Final evolution"
"Smoliv","Grass","Basic",2,"Smoliv_Grass","Dolliv",NA,"Not final evolution"
"Snom","Water","Basic",2,"Snom_Water","Frosmoth",NA,"Not final evolution"
"Snorlax","Colorless","Basic",1,"Snorlax_Colorless",NA,NA,"Final evolution"
"Snorunt","Water","Basic",3,"Snorunt_Water",NA,NA,"Final evolution"
"Snover","Grass","Basic",3,"Snover_Grass","Abomasnow",NA,"Not final evolution"
"Snubbull","Fairy","Basic",1,"Snubbull_Fairy","Granbull",NA,"Not final evolution"
"Solosis","Psychic","Basic",8,"Solosis_Psychic","Duosion",NA,"Not final evolution"
"Solrock","Psychic","Basic",1,"Solrock_Psychic",NA,NA,"Final evolution"
"Solrock","Fighting","Basic",1,"Solrock_Fighting",NA,NA,"Final evolution"
"Spearow","Colorless","Basic",3,"Spearow_Colorless","Fearow",NA,"Not final evolution"
"Spectrier","Psychic","Basic",1,"Spectrier_Psychic",NA,NA,"Final evolution"
"Spinarak","Grass","Basic",4,"Spinarak_Grass","Ariados",NA,"Not final evolution"
"Spinda","Colorless","Basic",5,"Spinda_Colorless",NA,NA,"Final evolution"
"Spiritomb","Darkness","Basic",2,"Spiritomb_Darkness",NA,NA,"Final evolution"
"Spoink","Psychic","Basic",3,"Spoink_Psychic","Grumpig",NA,"Not final evolution"
"Sprigatito","Grass","Basic",1,"Sprigatito_Grass",NA,NA,"Final evolution"
"Spritzee","Fairy","Basic",1,"Spritzee_Fairy","Aromatisse",NA,"Not final evolution"
"Squirtle","Water","Basic",3,"Squirtle_Water","Wartortle",NA,"Not final evolution"
"Starly","Colorless","Basic",2,"Starly_Colorless","Staravia",NA,"Not final evolution"
"Staryu","Water","Basic",1,"Staryu_Water","Starmie",NA,"Not final evolution"
"Stonjourner","Fighting","Basic",1,"Stonjourner_Fighting",NA,NA,"Final evolution"
"Stufful","Colorless","Basic",1,"Stufful_Colorless","Bewear",NA,"Not final evolution"
"Stufful","Fighting","Basic",3,"Stufful_Fighting","Bewear",NA,"Not final evolution"
"Stunfisk","Lightning","Basic",2,"Stunfisk_Lightning",NA,NA,"Final evolution"
"Stunfisk","Fighting","Basic",2,"Stunfisk_Fighting",NA,NA,"Final evolution"
"Sudowoodo","Fighting","Basic",4,"Sudowoodo_Fighting",NA,NA,"Final evolution"
"Surskit","Grass","Basic",2,"Surskit_Grass","Masquerain",NA,"Not final evolution"
"Swablu","Colorless","Basic",5,"Swablu_Colorless","Altaria",NA,"Not final evolution"
"Swirlix","Psychic","Basic",1,"Swirlix_Psychic","Slurpuff",NA,"Not final evolution"
"Tadbulb","Lightning","Basic",6,"Tadbulb_Lightning","Bellibolt",NA,"Not final evolution"
"Tandemaus","Colorless","Basic",3,"Tandemaus_Colorless",NA,NA,"Final evolution"
"Tangela","Grass","Basic",5,"Tangela_Grass","Tangrowth",NA,"Not final evolution"
"Tarountula","Grass","Basic",4,"Tarountula_Grass",NA,NA,"Final evolution"
"Tatsugiri","Water","Basic",2,"Tatsugiri_Water",NA,NA,"Final evolution"
"Tauros","Colorless","Basic",3,"Tauros_Colorless",NA,NA,"Final evolution"
"Teddiursa","Colorless","Basic",2,"Teddiursa_Colorless","Ursaring",NA,"Not final evolution"
"Tentacool","Water","Basic",5,"Tentacool_Water","Tentacruel",NA,"Not final evolution"
"Terrakion","Fighting","Basic",1,"Terrakion_Fighting",NA,NA,"Final evolution"
"Ting-Lu","Fighting","Basic",1,"Ting-Lu_Fighting",NA,NA,"Final evolution"
"Tinkatink","Psychic","Basic",1,"Tinkatink_Psychic",NA,NA,"Final evolution"
"Toedscool","Grass","Basic",4,"Toedscool_Grass",NA,NA,"Final evolution"
"Toedscool","Fighting","Basic",2,"Toedscool_Fighting","Toedscruel",NA,"Not final evolution"
"Togedemaru","Lightning","Basic",2,"Togedemaru_Lightning",NA,NA,"Final evolution"
"Togedemaru","Metal","Basic",6,"Togedemaru_Metal",NA,NA,"Final evolution"
"Torkoal","Fire","Basic",4,"Torkoal_Fire",NA,NA,"Final evolution"
"Totodile","Water","Basic",1,"Totodile_Water","Croconaw",NA,"Not final evolution"
"Toxel","Lightning","Basic",3,"Toxel_Lightning","Toxtricity",NA,"Not final evolution"
"Trapinch","Fighting","Basic",1,"Trapinch_Fighting","Vibrava",NA,"Not final evolution"
"Tropius","Grass","Basic",5,"Tropius_Grass",NA,NA,"Final evolution"
"Trubbish","Darkness","Basic",2,"Trubbish_Darkness","Garbodor",NA,"Not final evolution"
"Turtonator","Fire","Basic",2,"Turtonator_Fire",NA,NA,"Final evolution"
"Turtwig","Grass","Basic",1,"Turtwig_Grass","Grotle",NA,"Not final evolution"
"Tympole","Water","Basic",3,"Tympole_Water","Palpitoad",NA,"Not final evolution"
"Tynamo","Lightning","Basic",1,"Tynamo_Lightning","Eelektrik",NA,"Not final evolution"
"Vanillite","Water","Basic",3,"Vanillite_Water","Vanillish",NA,"Not final evolution"
"Varoom","Metal","Basic",3,"Varoom_Metal","Revavroom",NA,"Not final evolution"
"Veluza","Water","Basic",2,"Veluza_Water",NA,NA,"Final evolution"
"Venipede","Darkness","Basic",1,"Venipede_Darkness","Whirlipede",NA,"Not final evolution"
"Venonat","Grass","Basic",3,"Venonat_Grass","Venomoth",NA,"Not final evolution"
"Victini","Fire","Basic",2,"Victini_Fire",NA,NA,"Final evolution"
"Virizion","Grass","Basic",1,"Virizion_Grass",NA,NA,"Final evolution"
"Volcanion","Fire","Basic",1,"Volcanion_Fire",NA,NA,"Final evolution"
"Voltorb","Lightning","Basic",3,"Voltorb_Lightning","Electrode",NA,"Not final evolution"
"Vullaby","Darkness","Basic",3,"Vullaby_Darkness","Mandibuzz",NA,"Not final evolution"
"Vulpix","Fire","Basic",3,"Vulpix_Fire","Ninetales",NA,"Not final evolution"
"Wailmer","Water","Basic",7,"Wailmer_Water","Wailord",NA,"Not final evolution"
"Wattrel","Lightning","Basic",5,"Wattrel_Lightning",NA,NA,"Final evolution"
"Weedle","Grass","Basic",2,"Weedle_Grass","Kakuna",NA,"Not final evolution"
"Wiglett","Water","Basic",2,"Wiglett_Water","Wugtrio",NA,"Not final evolution"
"Wimpod","Grass","Basic",1,"Wimpod_Grass","Golisopod",NA,"Not final evolution"
"Wimpod","Water","Basic",3,"Wimpod_Water","Golisopod",NA,"Not final evolution"
"Wingull","Water","Basic",3,"Wingull_Water","Pelipper",NA,"Not final evolution"
"Wishiwashi","Water","Basic",2,"Wishiwashi_Water",NA,NA,"Final evolution"
"Wo-Chien","Grass","Basic",1,"Wo-Chien_Grass",NA,NA,"Final evolution"
"Wobbuffet","Psychic","Basic",1,"Wobbuffet_Psychic",NA,NA,"Final evolution"
"Woobat","Psychic","Basic",2,"Woobat_Psychic","Swoobat",NA,"Not final evolution"
"Wooloo","Colorless","Basic",2,"Wooloo_Colorless","Dubwool",NA,"Not final evolution"
"Wooper","Fighting","Basic",2,"Wooper_Fighting","Quagsire",NA,"Not final evolution"
"Wurmple","Grass","Basic",1,"Wurmple_Grass",NA,NA,"Final evolution"
"Yamask","Psychic","Basic",1,"Yamask_Psychic","Cofagrigus",NA,"Not final evolution"
"Yamper","Lightning","Basic",2,"Yamper_Lightning","Boltund",NA,"Not final evolution"
"Yanma","Grass","Basic",1,"Yanma_Grass","Yanmega",NA,"Not final evolution"
"Yungoos","Colorless","Basic",2,"Yungoos_Colorless","Gumshoos",NA,"Not final evolution"
"Zacian","Metal","Basic",1,"Zacian_Metal",NA,NA,"Final evolution"
"Zangoose","Colorless","Basic",3,"Zangoose_Colorless",NA,NA,"Final evolution"
"Zekrom","Lightning","Basic",1,"Zekrom_Lightning",NA,NA,"Final evolution"
"Zorua","Darkness","Basic",3,"Zorua_Darkness","Zoroark",NA,"Not final evolution"
"Zubat","Psychic","Basic",1,"Zubat_Psychic","Golbat",NA,"Not final evolution"
"Zubat","Darkness","Basic",1,"Zubat_Darkness","Golbat",NA,"Not final evolution"
"Zygarde","Fighting","Basic",1,"Zygarde_Fighting",NA,NA,"Final evolution"
